"","Date","month","Day","Year","Hour","Day of Week","WeekDay","Peakhour","Temperature"
"1","06/13/2016",6,13,2016,17,1,1,0,71
"2","06/13/2016",6,13,2016,18,1,1,0,70
"3","06/13/2016",6,13,2016,19,1,1,0,70
"4","06/13/2016",6,13,2016,20,1,1,1,69
"5","06/13/2016",6,13,2016,21,1,1,1,67
"6","06/13/2016",6,13,2016,22,1,1,1,65
"7","06/13/2016",6,13,2016,23,1,1,1,63
"8","06/14/2016",6,14,2016,0,2,1,1,61
"9","06/14/2016",6,14,2016,1,2,1,1,60
"10","06/14/2016",6,14,2016,2,2,1,1,59
"11","06/14/2016",6,14,2016,3,2,1,1,58
"12","06/14/2016",6,14,2016,4,2,1,1,57
"13","06/14/2016",6,14,2016,5,2,1,1,56
"14","06/14/2016",6,14,2016,6,2,1,1,56
"15","06/14/2016",6,14,2016,7,2,1,0,58
"16","06/14/2016",6,14,2016,8,2,1,0,61
"17","06/14/2016",6,14,2016,9,2,1,0,64
"18","06/14/2016",6,14,2016,10,2,1,0,67
"19","06/14/2016",6,14,2016,11,2,1,0,69
"20","06/14/2016",6,14,2016,12,2,1,0,71
"21","06/14/2016",6,14,2016,13,2,1,0,73
"22","06/14/2016",6,14,2016,14,2,1,0,75
"23","06/14/2016",6,14,2016,15,2,1,0,75
"24","06/14/2016",6,14,2016,16,2,1,0,75
"25","06/14/2016",6,14,2016,17,2,1,0,75
"26","06/14/2016",6,14,2016,18,2,1,0,74
"27","06/14/2016",6,14,2016,19,2,1,0,73
"28","06/14/2016",6,14,2016,20,2,1,1,71
"29","06/14/2016",6,14,2016,21,2,1,1,68
"30","06/14/2016",6,14,2016,22,2,1,1,66
"31","06/14/2016",6,14,2016,23,2,1,1,65
"32","06/15/2016",6,15,2016,0,3,1,1,64
"33","06/15/2016",6,15,2016,1,3,1,1,63
"34","06/15/2016",6,15,2016,2,3,1,1,62
"35","06/15/2016",6,15,2016,3,3,1,1,61
"36","06/15/2016",6,15,2016,4,3,1,1,61
"37","06/15/2016",6,15,2016,5,3,1,1,60
"38","06/15/2016",6,15,2016,6,3,1,1,61
"39","06/15/2016",6,15,2016,7,3,1,0,65
"40","06/15/2016",6,15,2016,8,3,1,0,68
"41","06/15/2016",6,15,2016,9,3,1,0,71
"42","06/15/2016",6,15,2016,10,3,1,0,74
"43","06/15/2016",6,15,2016,11,3,1,0,76
"44","06/15/2016",6,15,2016,12,3,1,0,77
"45","06/15/2016",6,15,2016,13,3,1,0,78
"46","06/15/2016",6,15,2016,14,3,1,0,78
"47","06/15/2016",6,15,2016,15,3,1,0,79
"48","06/15/2016",6,15,2016,16,3,1,0,79
"49","06/15/2016",6,15,2016,17,3,1,0,78
"50","06/15/2016",6,15,2016,18,3,1,0,77
"51","06/15/2016",6,15,2016,19,3,1,0,75
"52","06/15/2016",6,15,2016,20,3,1,1,74
"53","06/15/2016",6,15,2016,21,3,1,1,72
"54","06/15/2016",6,15,2016,22,3,1,1,70
"55","06/15/2016",6,15,2016,23,3,1,1,69
"56","06/16/2016",6,16,2016,0,4,1,1,68
"57","06/16/2016",6,16,2016,1,4,1,1,67
"58","06/16/2016",6,16,2016,2,4,1,1,65
"59","06/16/2016",6,16,2016,3,4,1,1,63
"60","06/16/2016",6,16,2016,4,4,1,1,62
"61","06/16/2016",6,16,2016,5,4,1,1,61
"62","06/16/2016",6,16,2016,6,4,1,1,61
"63","06/16/2016",6,16,2016,7,4,1,0,64
"64","06/16/2016",6,16,2016,8,4,1,0,68
"65","06/16/2016",6,16,2016,9,4,1,0,71
"66","06/16/2016",6,16,2016,10,4,1,0,74
"67","06/16/2016",6,16,2016,11,4,1,0,76
"68","06/16/2016",6,16,2016,12,4,1,0,76
"69","06/16/2016",6,16,2016,13,4,1,0,77
"70","06/16/2016",6,16,2016,14,4,1,0,77
"71","06/16/2016",6,16,2016,15,4,1,0,77
"72","06/16/2016",6,16,2016,16,4,1,0,76
"73","06/16/2016",6,16,2016,17,4,1,0,75
"74","06/16/2016",6,16,2016,18,4,1,0,74
"75","06/16/2016",6,16,2016,19,4,1,0,72
"76","06/16/2016",6,16,2016,20,4,1,1,71
"77","06/16/2016",6,16,2016,21,4,1,1,68
"78","06/16/2016",6,16,2016,22,4,1,1,66
"79","06/16/2016",6,16,2016,23,4,1,1,65
"80","06/17/2016",6,17,2016,0,5,1,1,63
"81","06/17/2016",6,17,2016,1,5,1,1,63
"82","06/17/2016",6,17,2016,2,5,1,1,62
"83","06/17/2016",6,17,2016,3,5,1,1,61
"84","06/17/2016",6,17,2016,4,5,1,1,60
"85","06/17/2016",6,17,2016,5,5,1,1,60
"86","06/17/2016",6,17,2016,6,5,1,1,60
"87","06/17/2016",6,17,2016,7,5,1,0,63
"88","06/17/2016",6,17,2016,8,5,1,0,65
"89","06/17/2016",6,17,2016,9,5,1,0,66
"90","06/17/2016",6,17,2016,10,5,1,0,67
"91","06/17/2016",6,17,2016,11,5,1,0,67
"92","06/17/2016",6,17,2016,12,5,1,0,67
"93","06/17/2016",6,17,2016,13,5,1,0,68
"94","06/17/2016",6,17,2016,14,5,1,0,67
"95","06/17/2016",6,17,2016,15,5,1,0,67
"96","06/17/2016",6,17,2016,16,5,1,0,67
"97","06/17/2016",6,17,2016,17,5,1,0,67
"98","06/17/2016",6,17,2016,18,5,1,0,66
"99","06/17/2016",6,17,2016,19,5,1,0,64
"100","06/17/2016",6,17,2016,20,5,1,1,63
"101","06/17/2016",6,17,2016,21,5,1,1,61
"102","06/17/2016",6,17,2016,22,5,1,1,59
"103","06/17/2016",6,17,2016,23,5,1,1,59
"104","06/18/2016",6,18,2016,0,6,0,1,58
