"","Date","month","Day","Year","Hour","Day of Week","WeekDay","Peakhour","Temperature"
"1","12/1/2014",12,1,2014,0,1,1,1,51.98
"2","12/1/2014",12,1,2014,1,1,1,1,51.98
"3","12/1/2014",12,1,2014,2,1,1,1,51.08
"4","12/1/2014",12,1,2014,3,1,1,1,51.08
"5","12/1/2014",12,1,2014,4,1,1,1,51.08
"6","12/1/2014",12,1,2014,5,1,1,1,51.08
"7","12/1/2014",12,1,2014,6,1,1,1,50
"8","12/1/2014",12,1,2014,7,1,1,0,53.06
"9","12/1/2014",12,1,2014,8,1,1,0,55.94
"10","12/1/2014",12,1,2014,9,1,1,0,60.08
"11","12/1/2014",12,1,2014,10,1,1,0,60.08
"12","12/1/2014",12,1,2014,11,1,1,0,62.06
"13","12/1/2014",12,1,2014,12,1,1,0,62.96
"14","12/1/2014",12,1,2014,13,1,1,0,60.98
"15","12/1/2014",12,1,2014,14,1,1,0,57.92
"16","12/1/2014",12,1,2014,15,1,1,0,55.04
"17","12/1/2014",12,1,2014,16,1,1,0,53.06
"18","12/1/2014",12,1,2014,17,1,1,0,51.08
"19","12/1/2014",12,1,2014,18,1,1,0,48.92
"20","12/1/2014",12,1,2014,19,1,1,0,48.02
"21","12/1/2014",12,1,2014,20,1,1,1,46.94
"22","12/1/2014",12,1,2014,21,1,1,1,42.98
"23","12/1/2014",12,1,2014,22,1,1,1,41
"24","12/1/2014",12,1,2014,23,1,1,1,39.02
"25","12/2/2014",12,2,2014,0,2,1,1,37.94
"26","12/2/2014",12,2,2014,1,2,1,1,37.04
"27","12/2/2014",12,2,2014,2,2,1,1,35.96
"28","12/2/2014",12,2,2014,3,2,1,1,35.06
"29","12/2/2014",12,2,2014,4,2,1,1,35.06
"30","12/2/2014",12,2,2014,5,2,1,1,33.98
"31","12/2/2014",12,2,2014,6,2,1,1,33.98
"32","12/2/2014",12,2,2014,7,2,1,0,33.08
"33","12/2/2014",12,2,2014,8,2,1,0,33.08
"34","12/2/2014",12,2,2014,9,2,1,0,33.98
"35","12/2/2014",12,2,2014,10,2,1,0,35.06
"36","12/2/2014",12,2,2014,11,2,1,0,37.04
"37","12/2/2014",12,2,2014,12,2,1,0,37.04
"38","12/2/2014",12,2,2014,13,2,1,0,37.04
"39","12/2/2014",12,2,2014,14,2,1,0,37.04
"40","12/2/2014",12,2,2014,15,2,1,0,37.22
"41","12/2/2014",12,2,2014,16,2,1,0,35.96
"42","12/2/2014",12,2,2014,17,2,1,0,35.96
"43","12/2/2014",12,2,2014,18,2,1,0,36.68
"44","12/2/2014",12,2,2014,19,2,1,0,37.04
"45","12/2/2014",12,2,2014,20,2,1,1,37.67
"46","12/2/2014",12,2,2014,21,2,1,1,39.02
"47","12/2/2014",12,2,2014,22,2,1,1,39.32
"48","12/2/2014",12,2,2014,23,2,1,1,41
"49","12/3/2014",12,3,2014,0,3,1,1,42.89
"50","12/3/2014",12,3,2014,1,3,1,1,43.82
"51","12/3/2014",12,3,2014,2,3,1,1,44.96
"52","12/3/2014",12,3,2014,3,3,1,1,44.78
"53","12/3/2014",12,3,2014,4,3,1,1,45.14
"54","12/3/2014",12,3,2014,5,3,1,1,45.23
"55","12/3/2014",12,3,2014,6,3,1,1,37.58
"56","12/3/2014",12,3,2014,7,3,1,0,37.22
"57","12/3/2014",12,3,2014,8,3,1,0,37.94
"58","12/3/2014",12,3,2014,9,3,1,0,39.02
"59","12/3/2014",12,3,2014,10,3,1,0,40.1
"60","12/3/2014",12,3,2014,11,3,1,0,44.06
"61","12/3/2014",12,3,2014,12,3,1,0,46.31
"62","12/3/2014",12,3,2014,13,3,1,0,50
"63","12/3/2014",12,3,2014,14,3,1,0,51.08
"64","12/3/2014",12,3,2014,15,3,1,0,51.44
