,X,Date,month,Day,Year,Hour,Day.of.Week,WeekDay,Peakhour,Temperature,KWh
1,1,5/25/16,5,25,2016,15,3,1,0,71,158.2734371
2,2,5/25/16,5,25,2016,16,3,1,0,73,159.2297294
3,3,5/25/16,5,25,2016,17,3,1,0,77,160.3536897
4,4,5/25/16,5,25,2016,18,3,1,0,83,161.6453181
5,5,5/25/16,5,25,2016,19,3,1,0,81,162.2662743
6,6,5/25/16,5,25,2016,20,3,1,1,79,162.8872305
7,7,5/25/16,5,25,2016,21,3,1,1,77,163.5081868
8,8,5/25/16,5,25,2016,22,3,1,1,74,164.045309
9,9,5/25/16,5,25,2016,23,3,1,1,73,164.7500992
10,10,5/26/16,5,26,2016,0,4,1,1,72,146.5279073
11,11,5/26/16,5,26,2016,1,4,1,1,71,147.2326975
12,12,5/26/16,5,26,2016,2,4,1,1,70,147.9374877
13,13,5/26/16,5,26,2016,3,4,1,1,68,148.558444
14,14,5/26/16,5,26,2016,4,4,1,1,67,149.2632342
15,15,5/26/16,5,26,2016,5,4,1,1,66,149.9680245
16,16,5/26/16,5,26,2016,6,4,1,1,66,150.7566487
17,17,5/26/16,5,26,2016,7,4,1,0,68,151.712941
18,18,5/26/16,5,26,2016,8,4,1,0,71,152.7530673
19,19,5/26/16,5,26,2016,9,4,1,0,73,153.7093596
20,20,5/26/16,5,26,2016,10,4,1,0,73,154.4979839
21,21,5/26/16,5,26,2016,11,4,1,0,73,155.2866081
22,22,5/26/16,5,26,2016,12,4,1,0,75,156.2429004
23,23,5/26/16,5,26,2016,13,4,1,0,75,157.0315247
24,24,5/26/16,5,26,2016,14,4,1,0,76,157.9039829
25,25,5/26/16,5,26,2016,15,4,1,0,76,158.6926072
26,26,5/26/16,5,26,2016,16,4,1,0,75,159.3973974
27,27,5/26/16,5,26,2016,17,4,1,0,74,160.1021877
28,28,5/26/16,5,26,2016,18,4,1,0,74,160.890812
29,29,5/26/16,5,26,2016,19,4,1,0,72,161.5117682
30,30,5/26/16,5,26,2016,20,4,1,1,70,162.1327244
31,31,5/26/16,5,26,2016,21,4,1,1,69,162.8375147
32,32,5/26/16,5,26,2016,22,4,1,1,67,163.4584709
33,33,5/26/16,5,26,2016,23,4,1,1,66,164.1632612
34,34,5/27/16,5,27,2016,0,5,1,1,65,145.9410692
35,35,5/27/16,5,27,2016,1,5,1,1,64,146.6458594
36,36,5/27/16,5,27,2016,2,5,1,1,63,147.3506497
37,37,5/27/16,5,27,2016,3,5,1,1,62,148.0554399
38,38,5/27/16,5,27,2016,4,5,1,1,62,148.8440642
39,39,5/27/16,5,27,2016,5,5,1,1,61,149.5488544
40,40,5/27/16,5,27,2016,6,5,1,1,61,150.3374787
41,41,5/27/16,5,27,2016,7,5,1,0,64,151.377605
42,42,5/27/16,5,27,2016,8,5,1,0,66,152.3338973
43,43,5/27/16,5,27,2016,9,5,1,0,69,153.3740236
44,44,5/27/16,5,27,2016,10,5,1,0,71,154.3303158
45,45,5/27/16,5,27,2016,11,5,1,0,73,155.2866081
46,46,5/27/16,5,27,2016,12,5,1,0,74,156.1590664
47,47,5/27/16,5,27,2016,13,5,1,0,76,157.1153587
48,48,5/27/16,5,27,2016,14,5,1,0,77,157.9878169
49,49,5/27/16,5,27,2016,15,5,1,0,77,158.7764412
50,50,5/27/16,5,27,2016,16,5,1,0,77,159.5650655
51,51,5/27/16,5,27,2016,17,5,1,0,77,160.3536897
52,52,5/27/16,5,27,2016,18,5,1,0,77,161.142314
53,53,5/27/16,5,27,2016,19,5,1,0,75,161.7632702
54,54,5/27/16,5,27,2016,20,5,1,1,73,162.3842265
55,55,5/27/16,5,27,2016,21,5,1,1,71,163.0051827
56,56,5/27/16,5,27,2016,22,5,1,1,69,163.6261389
57,57,5/27/16,5,27,2016,23,5,1,1,68,164.3309292
58,58,5/28/16,5,28,2016,0,6,0,1,67,141.0346703
59,59,5/28/16,5,28,2016,1,6,0,1,67,141.8232946
60,60,5/28/16,5,28,2016,2,6,0,1,66,142.5280848
61,61,5/28/16,5,28,2016,3,6,0,1,65,143.2328751
62,62,5/28/16,5,28,2016,4,6,0,1,63,143.8538313
63,63,5/28/16,5,28,2016,5,6,0,1,63,144.6424556
64,64,5/28/16,5,28,2016,6,6,0,1,64,145.5149138
65,65,5/28/16,5,28,2016,7,6,0,0,67,146.5550401
66,66,5/28/16,5,28,2016,8,6,0,0,71,147.6790004
67,67,5/28/16,5,28,2016,9,6,0,0,75,148.8029607
68,68,5/28/16,5,28,2016,10,6,0,0,77,149.759253
69,69,5/28/16,5,28,2016,11,6,0,0,80,150.7993793
70,70,5/28/16,5,28,2016,12,6,0,0,81,151.6718376
71,71,5/28/16,5,28,2016,13,6,0,0,82,152.5442959
72,72,5/28/16,5,28,2016,14,6,0,0,81,153.2490861
73,73,5/28/16,5,28,2016,15,6,0,0,82,154.1215444
74,74,5/28/16,5,28,2016,16,6,0,0,81,154.8263346
75,75,5/28/16,5,28,2016,17,6,0,0,79,155.4472909
76,76,5/28/16,5,28,2016,18,6,0,0,77,156.0682471
77,77,5/28/16,5,28,2016,19,6,0,0,73,156.5215353
78,78,5/28/16,5,28,2016,20,6,0,1,70,157.0586575
79,79,5/28/16,5,28,2016,21,6,0,1,75,158.2664518
80,80,5/28/16,5,28,2016,22,6,0,1,74,158.9712421
81,81,5/28/16,5,28,2016,23,6,0,1,73,159.6760323
82,82,5/29/16,5,29,2016,0,0,0,1,71,141.3700063
83,83,5/29/16,5,29,2016,1,0,0,1,71,142.1586306
84,84,5/29/16,5,29,2016,2,0,0,1,70,142.8634209
85,85,5/29/16,5,29,2016,3,0,0,1,69,143.5682111
86,86,5/29/16,5,29,2016,4,0,0,1,67,144.1891673
87,87,5/29/16,5,29,2016,5,0,0,1,66,144.8939576
88,88,5/29/16,5,29,2016,6,0,0,1,65,145.5987478
89,89,5/29/16,5,29,2016,7,0,0,0,66,146.4712061
90,90,5/29/16,5,29,2016,8,0,0,0,67,147.3436644
91,91,5/29/16,5,29,2016,9,0,0,0,67,148.1322886
92,92,5/29/16,5,29,2016,10,0,0,0,67,148.9209129
93,93,5/29/16,5,29,2016,11,0,0,0,66,149.6257031
94,94,5/29/16,5,29,2016,12,0,0,0,66,150.4143274
95,95,5/29/16,5,29,2016,13,0,0,0,66,151.2029517
96,96,5/29/16,5,29,2016,14,0,0,0,65,151.9077419
97,97,5/29/16,5,29,2016,15,0,0,0,66,152.7802002
98,98,5/29/16,5,29,2016,16,0,0,0,65,153.4849904
99,99,5/29/16,5,29,2016,17,0,0,0,64,154.1897807
100,100,5/29/16,5,29,2016,18,0,0,0,64,154.9784049
101,101,5/29/16,5,29,2016,19,0,0,0,63,155.6831952
102,102,5/29/16,5,29,2016,20,0,0,1,62,156.3879854
103,103,5/29/16,5,29,2016,21,0,0,1,61,157.0927757
104,104,5/29/16,5,29,2016,22,0,0,1,60,157.7975659
105,105,5/29/16,5,29,2016,23,0,0,1,60,158.5861902
106,106,5/30/16,5,30,2016,0,1,1,1,60,145.5218991
107,107,5/30/16,5,30,2016,1,1,1,1,59,146.2266894
108,108,5/30/16,5,30,2016,2,1,1,1,59,147.0153136
109,109,5/30/16,5,30,2016,3,1,1,1,59,147.8039379
110,110,5/30/16,5,30,2016,4,1,1,1,59,148.5925621
