,X,Date,month,Day,Year,Hour,Day.of.Week,WeekDay,Peakhour,Temperature,KWh
1,1,12/1/14,12,1,2014,0,1,1,1,51.98,138.9953323
2,2,12/1/14,12,1,2014,1,1,1,1,51.98,138.3513412
3,3,12/1/14,12,1,2014,2,1,1,1,51.08,137.4833251
4,4,12/1/14,12,1,2014,3,1,1,1,51.08,136.839334
5,5,12/1/14,12,1,2014,4,1,1,1,51.08,136.1953429
6,6,12/1/14,12,1,2014,5,1,1,1,51.08,135.5513518
7,7,12/1/14,12,1,2014,6,1,1,1,50,134.6385307
8,8,12/1/14,12,1,2014,7,1,1,0,53.06,134.7562246
9,9,12/1/14,12,1,2014,8,1,1,0,55.94,134.8291135
10,10,12/1/14,12,1,2014,9,1,1,0,60.08,135.2156374
11,11,12/1/14,12,1,2014,10,1,1,0,60.08,134.5716463
12,12,12/1/14,12,1,2014,11,1,1,0,62.06,134.4205102
13,13,12/1/14,12,1,2014,12,1,1,0,62.96,134.0005441
14,14,12/1/14,12,1,2014,13,1,1,0,60.98,132.863698
15,15,12/1/14,12,1,2014,14,1,1,0,57.92,131.4580219
16,16,12/1/14,12,1,2014,15,1,1,0,55.04,130.0971508
17,17,12/1/14,12,1,2014,16,1,1,0,53.06,128.9603047
18,18,12/1/14,12,1,2014,17,1,1,0,51.08,127.8234586
19,19,12/1/14,12,1,2014,18,1,1,0,48.92,126.6418075
20,20,12/1/14,12,1,2014,19,1,1,0,48.02,125.7737914
21,21,12/1/14,12,1,2014,20,1,1,1,46.94,124.8609704
22,22,12/1/14,12,1,2014,21,1,1,1,42.98,123.2312693
23,23,12/1/14,12,1,2014,22,1,1,1,41,122.0944232
24,24,12/1/14,12,1,2014,23,1,1,1,39.02,120.9575771
25,25,12/2/14,12,2,2014,0,2,1,1,37.94,135.5005424
26,26,12/2/14,12,2,2014,1,2,1,1,37.04,134.6325263
27,27,12/2/14,12,2,2014,2,2,1,1,35.96,133.7197052
28,28,12/2/14,12,2,2014,3,2,1,1,35.06,132.8516891
29,29,12/2/14,12,2,2014,4,2,1,1,35.06,132.207698
30,30,12/2/14,12,2,2014,5,2,1,1,33.98,131.2948769
31,31,12/2/14,12,2,2014,6,2,1,1,33.98,130.6508858
32,32,12/2/14,12,2,2014,7,2,1,0,33.08,129.7828697
33,33,12/2/14,12,2,2014,8,2,1,0,33.08,129.1388786
34,34,12/2/14,12,2,2014,9,2,1,0,33.98,128.7189125
35,35,12/2/14,12,2,2014,10,2,1,0,35.06,128.3437514
36,36,12/2/14,12,2,2014,11,2,1,0,37.04,128.1926153
37,37,12/2/14,12,2,2014,12,2,1,0,37.04,127.5486242
38,38,12/2/14,12,2,2014,13,2,1,0,37.04,126.9046331
39,39,12/2/14,12,2,2014,14,2,1,0,37.04,126.260642
40,40,12/2/14,12,2,2014,15,2,1,0,37.22,125.6614559
41,41,12/2/14,12,2,2014,16,2,1,0,35.96,124.7038298
42,42,12/2/14,12,2,2014,17,2,1,0,35.96,124.0598387
43,43,12/2/14,12,2,2014,18,2,1,0,36.68,123.5950676
44,44,12/2/14,12,2,2014,19,2,1,0,37.04,123.0406865
45,45,12/2/14,12,2,2014,20,2,1,1,37.67,122.5535129
46,46,12/2/14,12,2,2014,21,2,1,1,39.02,122.2455593
47,47,12/2/14,12,2,2014,22,2,1,1,39.32,121.6762432
48,48,12/2/14,12,2,2014,23,2,1,1,41,121.4504321
