"","Account","Date","KWh","month","day","year","hour","DayofWeek","WeekDay","Peakhour","Temperature"
"1",999999999,"1/1/2014",78.405,1,1,2014,0,3,1,1,23
"2",999999999,"1/1/2014",76.425,1,1,2014,1,3,1,1,21.9
"3",999999999,"1/1/2014",78.015,1,1,2014,2,3,1,1,21.9
"4",999999999,"1/1/2014",78.12,1,1,2014,3,3,1,1,21.9
"5",999999999,"1/1/2014",77.535,1,1,2014,4,3,1,1,21
"6",999999999,"1/1/2014",104.099999,1,1,2014,5,3,1,1,21
"7",999999999,"1/1/2014",158.264998,1,1,2014,6,3,1,0,21
"8",999999999,"1/1/2014",249.164995,1,1,2014,7,3,1,0,19.9
"9",999999999,"1/1/2014",240.524994,1,1,2014,8,3,1,0,23
"10",999999999,"1/1/2014",224.069994,1,1,2014,9,3,1,0,24.1
"11",999999999,"1/1/2014",223.394993,1,1,2014,10,3,1,0,26.1
"12",999999999,"1/1/2014",215.039996,1,1,2014,11,3,1,0,26.1
"13",999999999,"1/1/2014",210.675,1,1,2014,12,3,1,0,27
"14",999999999,"1/1/2014",196.049998,1,1,2014,13,3,1,0,28
"15",999999999,"1/1/2014",196.559993,1,1,2014,14,3,1,0,27
"16",999999999,"1/1/2014",151.829996,1,1,2014,15,3,1,0,27
"17",999999999,"1/1/2014",103.739998,1,1,2014,16,3,1,0,26.1
"18",999999999,"1/1/2014",99.584999,1,1,2014,17,3,1,0,25
"19",999999999,"1/1/2014",97.589998,1,1,2014,18,3,1,0,24.1
"20",999999999,"1/1/2014",91.47,1,1,2014,19,3,1,1,24.1
"21",999999999,"1/1/2014",93.6,1,1,2014,20,3,1,1,23
"22",999999999,"1/1/2014",79.35,1,1,2014,21,3,1,1,21.9
"23",999999999,"1/1/2014",76.44,1,1,2014,22,3,1,1,23
"24",999999999,"1/1/2014",78.975,1,1,2014,23,3,1,1,23
"25",999999999,"1/2/2014",78.66,1,2,2014,0,4,1,1,21
"26",999999999,"1/2/2014",77.385,1,2,2014,1,4,1,1,20.1666666666667
"27",999999999,"1/2/2014",79.485,1,2,2014,2,4,1,1,19.2
"28",999999999,"1/2/2014",83.685,1,2,2014,3,4,1,1,19.2
"29",999999999,"1/2/2014",162.194999,1,2,2014,4,4,1,1,19.2
"30",999999999,"1/2/2014",170.474997,1,2,2014,5,4,1,1,19.2666666666667
"31",999999999,"1/2/2014",205.874997,1,2,2014,6,4,1,0,19.2666666666667
"32",999999999,"1/2/2014",264.044997,1,2,2014,7,4,1,0,19.2
"33",999999999,"1/2/2014",263.534995,1,2,2014,8,4,1,0,19.5666666666667
"34",999999999,"1/2/2014",269.009995,1,2,2014,9,4,1,0,24.1
"35",999999999,"1/2/2014",80.82,1,2,2014,10,4,1,0,25.8
"36",999999999,"1/2/2014",33.45,1,2,2014,11,4,1,0,24.5666666666667
"37",999999999,"1/2/2014",24.825,1,2,2014,12,4,1,0,24.1
"38",999999999,"1/2/2014",28.995,1,2,2014,13,4,1,0,25.8333333333333
"39",999999999,"1/2/2014",20.775,1,2,2014,14,4,1,0,19.9
"40",999999999,"1/2/2014",6,1,2,2014,15,4,1,0,13.95
"41",999999999,"1/2/2014",0,1,2,2014,16,4,1,0,12.1333333333333
"42",999999999,"1/2/2014",0,1,2,2014,17,4,1,0,10.3
"43",999999999,"1/2/2014",0,1,2,2014,18,4,1,0,8.1
"44",999999999,"1/2/2014",0,1,2,2014,19,4,1,1,6.1
"45",999999999,"1/2/2014",0,1,2,2014,20,4,1,1,6.45
"46",999999999,"1/2/2014",0,1,2,2014,21,4,1,1,4.45
"47",999999999,"1/2/2014",0,1,2,2014,22,4,1,1,3.1
"48",999999999,"1/2/2014",0,1,2,2014,23,4,1,1,2.76666666666667
"49",999999999,"1/3/2014",0,1,3,2014,0,5,1,1,1.56666666666667
"50",999999999,"1/3/2014",0,1,3,2014,1,5,1,1,1.9
"51",999999999,"1/3/2014",0,1,3,2014,2,5,1,1,1.9
"52",999999999,"1/3/2014",0,1,3,2014,3,5,1,1,1.9
"53",999999999,"1/3/2014",0,1,3,2014,4,5,1,1,1.65
"54",999999999,"1/3/2014",0,1,3,2014,5,5,1,1,3.1
"55",999999999,"1/3/2014",6.975,1,3,2014,6,5,1,0,3.1
"56",999999999,"1/3/2014",50.79,1,3,2014,7,5,1,0,3.9
"57",999999999,"1/3/2014",51.945,1,3,2014,8,5,1,0,5
"58",999999999,"1/3/2014",40.275,1,3,2014,9,5,1,0,6.1
"59",999999999,"1/3/2014",41.1,1,3,2014,10,5,1,0,8.8
"60",999999999,"1/3/2014",40.995,1,3,2014,11,5,1,0,9.75
"61",999999999,"1/3/2014",40.095,1,3,2014,12,5,1,0,12
"62",999999999,"1/3/2014",39.06,1,3,2014,13,5,1,0,14
"63",999999999,"1/3/2014",37.785,1,3,2014,14,5,1,0,14
"64",999999999,"1/3/2014",20.295,1,3,2014,15,5,1,0,12.9
"65",999999999,"1/3/2014",0,1,3,2014,16,5,1,0,10.9
"66",999999999,"1/3/2014",0,1,3,2014,17,5,1,0,9
"67",999999999,"1/3/2014",0,1,3,2014,18,5,1,0,7
"68",999999999,"1/3/2014",0,1,3,2014,19,5,1,1,6.1
"69",999999999,"1/3/2014",0,1,3,2014,20,5,1,1,5
"70",999999999,"1/3/2014",0,1,3,2014,21,5,1,1,3.9
"71",999999999,"1/3/2014",0,1,3,2014,22,5,1,1,3.9
"72",999999999,"1/3/2014",0,1,3,2014,23,5,1,1,3.9
"73",999999999,"1/4/2014",0,1,4,2014,0,6,0,1,3.9
"74",999999999,"1/4/2014",0,1,4,2014,1,6,0,1,3.9
"75",999999999,"1/4/2014",0,1,4,2014,2,6,0,1,3
"76",999999999,"1/4/2014",0,1,4,2014,3,6,0,1,3.9
"77",999999999,"1/4/2014",0,1,4,2014,4,6,0,1,3
"78",999999999,"1/4/2014",0,1,4,2014,5,6,0,1,1.9
"79",999999999,"1/4/2014",0,1,4,2014,6,6,0,0,1.9
"80",999999999,"1/4/2014",0,1,4,2014,7,6,0,0,3
"81",999999999,"1/4/2014",0,1,4,2014,8,6,0,0,7
"82",999999999,"1/4/2014",0,1,4,2014,9,6,0,0,10
"83",999999999,"1/4/2014",0,1,4,2014,10,6,0,0,14
"84",999999999,"1/4/2014",0,1,4,2014,11,6,0,0,19
"85",999999999,"1/4/2014",0,1,4,2014,12,6,0,0,21
"86",999999999,"1/4/2014",0,1,4,2014,13,6,0,0,23
"87",999999999,"1/4/2014",0,1,4,2014,14,6,0,0,24.1
"88",999999999,"1/4/2014",0,1,4,2014,15,6,0,0,25
"89",999999999,"1/4/2014",0,1,4,2014,16,6,0,0,26.1
"90",999999999,"1/4/2014",0,1,4,2014,17,6,0,0,26.1
"91",999999999,"1/4/2014",0,1,4,2014,18,6,0,0,27
"92",999999999,"1/4/2014",0,1,4,2014,19,6,0,1,27
"93",999999999,"1/4/2014",0,1,4,2014,20,6,0,1,26.1
"94",999999999,"1/4/2014",0,1,4,2014,21,6,0,1,27
