"","Date","month","day","year","hour","DayofWeek","WeekDay","Peakhour","Temperature","KWh"
"1","12/1/2014",12,1,2014,0,1,1,0,51.98,110.208169389001
"2","12/1/2014",12,1,2014,1,1,1,0,51.98,110.208169389001
"3","12/1/2014",12,1,2014,2,1,1,0,51.08,110.208169389001
"4","12/1/2014",12,1,2014,3,1,1,0,51.08,110.208169389001
"5","12/1/2014",12,1,2014,4,1,1,0,51.08,110.208169389001
"6","12/1/2014",12,1,2014,5,1,1,0,51.08,110.208169389001
"7","12/1/2014",12,1,2014,6,1,1,0,50,110.208169389001
"8","12/1/2014",12,1,2014,7,1,1,1,53.06,110.208169389001
"9","12/1/2014",12,1,2014,8,1,1,1,55.94,110.208169389001
"10","12/1/2014",12,1,2014,9,1,1,1,60.08,110.208169389001
"11","12/1/2014",12,1,2014,10,1,1,1,60.08,110.208169389001
"12","12/1/2014",12,1,2014,11,1,1,1,62.06,110.208169389001
"13","12/1/2014",12,1,2014,12,1,1,1,62.96,110.208169389001
"14","12/1/2014",12,1,2014,13,1,1,1,60.98,110.208169389001
"15","12/1/2014",12,1,2014,14,1,1,1,57.92,110.208169389001
"16","12/1/2014",12,1,2014,15,1,1,1,55.04,110.208169389001
"17","12/1/2014",12,1,2014,16,1,1,1,53.06,110.208169389001
"18","12/1/2014",12,1,2014,17,1,1,1,51.08,110.208169389001
"19","12/1/2014",12,1,2014,18,1,1,1,48.92,110.208169389001
"20","12/1/2014",12,1,2014,19,1,1,1,48.02,78.6507011399289
"21","12/1/2014",12,1,2014,20,1,1,0,46.94,78.6507011399289
"22","12/1/2014",12,1,2014,21,1,1,0,42.98,78.6507011399289
"23","12/1/2014",12,1,2014,22,1,1,0,41,78.6507011399289
"24","12/1/2014",12,1,2014,23,1,1,0,39.02,78.6507011399289
"25","12/2/2014",12,2,2014,0,2,1,0,37.94,78.6507011399289
"26","12/2/2014",12,2,2014,1,2,1,0,37.04,78.6507011399289
"27","12/2/2014",12,2,2014,2,2,1,0,35.96,78.6507011399289
"28","12/2/2014",12,2,2014,3,2,1,0,35.06,78.6507011399289
"29","12/2/2014",12,2,2014,4,2,1,0,35.06,78.6507011399289
"30","12/2/2014",12,2,2014,5,2,1,0,33.98,78.6507011399289
"31","12/2/2014",12,2,2014,6,2,1,0,33.98,78.6507011399289
"32","12/2/2014",12,2,2014,7,2,1,1,33.08,78.6507011399289
"33","12/2/2014",12,2,2014,8,2,1,1,33.08,78.6507011399289
"34","12/2/2014",12,2,2014,9,2,1,1,33.98,78.6507011399289
"35","12/2/2014",12,2,2014,10,2,1,1,35.06,78.6507011399289
"36","12/2/2014",12,2,2014,11,2,1,1,37.04,78.6507011399289
"37","12/2/2014",12,2,2014,12,2,1,1,37.04,78.6507011399289
"38","12/2/2014",12,2,2014,13,2,1,1,37.04,78.6507011399289
"39","12/2/2014",12,2,2014,14,2,1,1,37.04,78.6507011399289
"40","12/2/2014",12,2,2014,15,2,1,1,37.22,78.6507011399289
"41","12/2/2014",12,2,2014,16,2,1,1,35.96,78.6507011399289
"42","12/2/2014",12,2,2014,17,2,1,1,35.96,78.6507011399289
"43","12/2/2014",12,2,2014,18,2,1,1,36.68,78.6507011399289
"44","12/2/2014",12,2,2014,19,2,1,1,37.04,78.6507011399289
"45","12/2/2014",12,2,2014,20,2,1,0,37.67,78.6507011399289
"46","12/2/2014",12,2,2014,21,2,1,0,39.02,78.6507011399289
"47","12/2/2014",12,2,2014,22,2,1,0,39.32,78.6507011399289
"48","12/2/2014",12,2,2014,23,2,1,0,41,78.6507011399289
"49","12/3/2014",12,3,2014,0,3,1,0,42.89,78.6507011399289
"50","12/3/2014",12,3,2014,1,3,1,0,43.82,78.6507011399289
"51","12/3/2014",12,3,2014,2,3,1,0,44.96,78.6507011399289
"52","12/3/2014",12,3,2014,3,3,1,0,44.78,78.6507011399289
"53","12/3/2014",12,3,2014,4,3,1,0,45.14,78.6507011399289
"54","12/3/2014",12,3,2014,5,3,1,0,45.23,78.6507011399289
"55","12/3/2014",12,3,2014,6,3,1,0,37.58,78.6507011399289
"56","12/3/2014",12,3,2014,7,3,1,1,37.22,78.6507011399289
"57","12/3/2014",12,3,2014,8,3,1,1,37.94,78.6507011399289
"58","12/3/2014",12,3,2014,9,3,1,1,39.02,78.6507011399289
"59","12/3/2014",12,3,2014,10,3,1,1,40.1,78.6507011399289
"60","12/3/2014",12,3,2014,11,3,1,1,44.06,78.6507011399289
"61","12/3/2014",12,3,2014,12,3,1,1,46.31,78.6507011399289
"62","12/3/2014",12,3,2014,13,3,1,1,50,110.208169389001
"63","12/3/2014",12,3,2014,14,3,1,1,51.08,110.208169389001
"64","12/3/2014",12,3,2014,15,3,1,1,51.44,110.208169389001
"65","12/3/2014",12,3,2014,16,3,1,1,50,110.208169389001
"66","12/3/2014",12,3,2014,17,3,1,1,50,110.208169389001
"67","12/3/2014",12,3,2014,18,3,1,1,50,110.208169389001
"68","12/3/2014",12,3,2014,19,3,1,1,49.46,110.208169389001
"69","12/3/2014",12,3,2014,20,3,1,0,48.02,78.6507011399289
"70","12/3/2014",12,3,2014,21,3,1,0,42.98,78.6507011399289
"71","12/3/2014",12,3,2014,22,3,1,0,42.08,78.6507011399289
"72","12/3/2014",12,3,2014,23,3,1,0,39.92,78.6507011399289
"73","12/4/2014",12,4,2014,0,4,1,0,39.02,78.6507011399289
"74","12/4/2014",12,4,2014,1,4,1,0,37.94,78.6507011399289
"75","12/4/2014",12,4,2014,2,4,1,0,37.94,78.6507011399289
"76","12/4/2014",12,4,2014,3,4,1,0,37.04,78.6507011399289
"77","12/4/2014",12,4,2014,4,4,1,0,37.04,78.6507011399289
"78","12/4/2014",12,4,2014,5,4,1,0,33.98,78.6507011399289
"79","12/4/2014",12,4,2014,6,4,1,0,33.98,78.6507011399289
"80","12/4/2014",12,4,2014,7,4,1,1,35.06,78.6507011399289
"81","12/4/2014",12,4,2014,8,4,1,1,37.94,78.6507011399289
"82","12/4/2014",12,4,2014,9,4,1,1,39.92,78.6507011399289
"83","12/4/2014",12,4,2014,10,4,1,1,41,78.6507011399289
"84","12/4/2014",12,4,2014,11,4,1,1,42.08,78.6507011399289
"85","12/4/2014",12,4,2014,12,4,1,1,42.98,78.6507011399289
"86","12/4/2014",12,4,2014,13,4,1,1,42.98,78.6507011399289
"87","12/4/2014",12,4,2014,14,4,1,1,42.08,78.6507011399289
"88","12/4/2014",12,4,2014,15,4,1,1,39.92,78.6507011399289
"89","12/4/2014",12,4,2014,16,4,1,1,37.04,78.6507011399289
"90","12/4/2014",12,4,2014,17,4,1,1,35.96,78.6507011399289
"91","12/4/2014",12,4,2014,18,4,1,1,33.98,78.6507011399289
"92","12/4/2014",12,4,2014,19,4,1,1,33.08,78.6507011399289
"93","12/4/2014",12,4,2014,20,4,1,0,32,78.6507011399289
"94","12/4/2014",12,4,2014,21,4,1,0,30.92,78.6507011399289
"95","12/4/2014",12,4,2014,22,4,1,0,30.02,78.6507011399289
"96","12/4/2014",12,4,2014,23,4,1,0,30.02,78.6507011399289
"97","12/5/2014",12,5,2014,0,5,1,0,28.94,78.6507011399289
"98","12/5/2014",12,5,2014,1,5,1,0,28.04,78.6507011399289
