"","Date","month","day","year","hour","DayofWeek","WeekDay","Peakhour","Temperature","KWh"
"1","06/13/2016",6,13,2016,18,1,1,1,70,116.73306605625
"2","06/13/2016",6,13,2016,19,1,1,1,70,116.73306605625
"3","06/13/2016",6,13,2016,20,1,1,0,69,116.73306605625
"4","06/13/2016",6,13,2016,21,1,1,0,67,110.208169389001
"5","06/13/2016",6,13,2016,22,1,1,0,65,110.208169389001
"6","06/13/2016",6,13,2016,23,1,1,0,63,110.208169389001
"7","06/14/2016",6,14,2016,0,2,1,0,61,110.208169389001
"8","06/14/2016",6,14,2016,1,2,1,0,60,110.208169389001
"9","06/14/2016",6,14,2016,2,2,1,0,59,110.208169389001
"10","06/14/2016",6,14,2016,3,2,1,0,58,110.208169389001
"11","06/14/2016",6,14,2016,4,2,1,0,57,110.208169389001
"12","06/14/2016",6,14,2016,5,2,1,0,56,110.208169389001
"13","06/14/2016",6,14,2016,6,2,1,0,56,110.208169389001
"14","06/14/2016",6,14,2016,7,2,1,1,58,110.208169389001
"15","06/14/2016",6,14,2016,8,2,1,1,61,110.208169389001
"16","06/14/2016",6,14,2016,9,2,1,1,64,110.208169389001
"17","06/14/2016",6,14,2016,10,2,1,1,67,110.208169389001
"18","06/14/2016",6,14,2016,11,2,1,1,69,244.685870923686
"19","06/14/2016",6,14,2016,12,2,1,1,71,244.685870923686
"20","06/14/2016",6,14,2016,13,2,1,1,73,244.685870923686
"21","06/14/2016",6,14,2016,14,2,1,1,75,244.685870923686
"22","06/14/2016",6,14,2016,15,2,1,1,75,116.73306605625
"23","06/14/2016",6,14,2016,16,2,1,1,75,116.73306605625
"24","06/14/2016",6,14,2016,17,2,1,1,75,116.73306605625
"25","06/14/2016",6,14,2016,18,2,1,1,74,116.73306605625
"26","06/14/2016",6,14,2016,19,2,1,1,73,116.73306605625
"27","06/14/2016",6,14,2016,20,2,1,0,71,116.73306605625
"28","06/14/2016",6,14,2016,21,2,1,0,68,110.208169389001
"29","06/14/2016",6,14,2016,22,2,1,0,66,110.208169389001
"30","06/14/2016",6,14,2016,23,2,1,0,65,110.208169389001
"31","06/15/2016",6,15,2016,0,3,1,0,64,110.208169389001
"32","06/15/2016",6,15,2016,1,3,1,0,63,110.208169389001
"33","06/15/2016",6,15,2016,2,3,1,0,62,110.208169389001
"34","06/15/2016",6,15,2016,3,3,1,0,61,110.208169389001
"35","06/15/2016",6,15,2016,4,3,1,0,61,110.208169389001
"36","06/15/2016",6,15,2016,5,3,1,0,60,110.208169389001
"37","06/15/2016",6,15,2016,6,3,1,0,61,110.208169389001
"38","06/15/2016",6,15,2016,7,3,1,1,65,110.208169389001
"39","06/15/2016",6,15,2016,8,3,1,1,68,110.208169389001
"40","06/15/2016",6,15,2016,9,3,1,1,71,244.685870923686
"41","06/15/2016",6,15,2016,10,3,1,1,74,244.685870923686
"42","06/15/2016",6,15,2016,11,3,1,1,76,244.685870923686
"43","06/15/2016",6,15,2016,12,3,1,1,77,244.685870923686
"44","06/15/2016",6,15,2016,13,3,1,1,78,244.685870923686
"45","06/15/2016",6,15,2016,14,3,1,1,78,244.685870923686
"46","06/15/2016",6,15,2016,15,3,1,1,79,116.73306605625
"47","06/15/2016",6,15,2016,16,3,1,1,79,116.73306605625
"48","06/15/2016",6,15,2016,17,3,1,1,78,116.73306605625
"49","06/15/2016",6,15,2016,18,3,1,1,77,116.73306605625
"50","06/15/2016",6,15,2016,19,3,1,1,75,116.73306605625
"51","06/15/2016",6,15,2016,20,3,1,0,74,116.73306605625
"52","06/15/2016",6,15,2016,21,3,1,0,72,116.73306605625
"53","06/15/2016",6,15,2016,22,3,1,0,70,116.73306605625
"54","06/15/2016",6,15,2016,23,3,1,0,69,116.73306605625
"55","06/16/2016",6,16,2016,0,4,1,0,68,110.208169389001
"56","06/16/2016",6,16,2016,1,4,1,0,67,110.208169389001
"57","06/16/2016",6,16,2016,2,4,1,0,65,110.208169389001
"58","06/16/2016",6,16,2016,3,4,1,0,63,110.208169389001
"59","06/16/2016",6,16,2016,4,4,1,0,62,110.208169389001
"60","06/16/2016",6,16,2016,5,4,1,0,61,110.208169389001
"61","06/16/2016",6,16,2016,6,4,1,0,61,110.208169389001
"62","06/16/2016",6,16,2016,7,4,1,1,64,110.208169389001
"63","06/16/2016",6,16,2016,8,4,1,1,68,110.208169389001
"64","06/16/2016",6,16,2016,9,4,1,1,71,244.685870923686
"65","06/16/2016",6,16,2016,10,4,1,1,74,244.685870923686
"66","06/16/2016",6,16,2016,11,4,1,1,76,244.685870923686
"67","06/16/2016",6,16,2016,12,4,1,1,76,244.685870923686
"68","06/16/2016",6,16,2016,13,4,1,1,77,244.685870923686
"69","06/16/2016",6,16,2016,14,4,1,1,77,244.685870923686
"70","06/16/2016",6,16,2016,15,4,1,1,77,116.73306605625
"71","06/16/2016",6,16,2016,16,4,1,1,76,116.73306605625
"72","06/16/2016",6,16,2016,17,4,1,1,75,116.73306605625
"73","06/16/2016",6,16,2016,18,4,1,1,74,116.73306605625
"74","06/16/2016",6,16,2016,19,4,1,1,72,116.73306605625
"75","06/16/2016",6,16,2016,20,4,1,0,71,116.73306605625
"76","06/16/2016",6,16,2016,21,4,1,0,68,110.208169389001
"77","06/16/2016",6,16,2016,22,4,1,0,66,110.208169389001
"78","06/16/2016",6,16,2016,23,4,1,0,65,110.208169389001
"79","06/17/2016",6,17,2016,0,5,1,0,63,110.208169389001
"80","06/17/2016",6,17,2016,1,5,1,0,63,110.208169389001
"81","06/17/2016",6,17,2016,2,5,1,0,62,110.208169389001
"82","06/17/2016",6,17,2016,3,5,1,0,61,110.208169389001
"83","06/17/2016",6,17,2016,4,5,1,0,60,110.208169389001
"84","06/17/2016",6,17,2016,5,5,1,0,60,110.208169389001
"85","06/17/2016",6,17,2016,6,5,1,0,60,110.208169389001
"86","06/17/2016",6,17,2016,7,5,1,1,63,110.208169389001
"87","06/17/2016",6,17,2016,8,5,1,1,65,110.208169389001
"88","06/17/2016",6,17,2016,9,5,1,1,66,110.208169389001
"89","06/17/2016",6,17,2016,10,5,1,1,67,110.208169389001
"90","06/17/2016",6,17,2016,11,5,1,1,67,110.208169389001
"91","06/17/2016",6,17,2016,12,5,1,1,67,110.208169389001
"92","06/17/2016",6,17,2016,13,5,1,1,68,110.208169389001
"93","06/17/2016",6,17,2016,14,5,1,1,67,110.208169389001
"94","06/17/2016",6,17,2016,15,5,1,1,67,110.208169389001
"95","06/17/2016",6,17,2016,16,5,1,1,67,110.208169389001
"96","06/17/2016",6,17,2016,17,5,1,1,67,110.208169389001
"97","06/17/2016",6,17,2016,18,5,1,1,66,110.208169389001
"98","06/17/2016",6,17,2016,19,5,1,1,64,110.208169389001
"99","06/17/2016",6,17,2016,20,5,1,0,63,110.208169389001
"100","06/17/2016",6,17,2016,21,5,1,0,61,110.208169389001
"101","06/17/2016",6,17,2016,22,5,1,0,59,110.208169389001
"102","06/17/2016",6,17,2016,23,5,1,0,59,110.208169389001
"103","06/18/2016",6,18,2016,0,6,0,0,58,110.208169389001
"104","06/18/2016",6,18,2016,1,6,0,0,58,110.208169389001
"105","06/18/2016",6,18,2016,2,6,0,0,58,110.208169389001
"106","06/18/2016",6,18,2016,3,6,0,0,57,110.208169389001
"107","06/18/2016",6,18,2016,4,6,0,0,57,110.208169389001
"108","06/18/2016",6,18,2016,5,6,0,0,57,110.208169389001
"109","06/18/2016",6,18,2016,6,6,0,0,58,110.208169389001
"110","06/18/2016",6,18,2016,7,6,0,1,60,110.208169389001
"111","06/18/2016",6,18,2016,8,6,0,1,63,110.208169389001
"112","06/18/2016",6,18,2016,9,6,0,1,64,110.208169389001
"113","06/18/2016",6,18,2016,10,6,0,1,66,110.208169389001
"114","06/18/2016",6,18,2016,11,6,0,1,67,110.208169389001
"115","06/18/2016",6,18,2016,12,6,0,1,67,110.208169389001
"116","06/18/2016",6,18,2016,13,6,0,1,68,110.208169389001
"117","06/18/2016",6,18,2016,14,6,0,1,68,110.208169389001
"118","06/18/2016",6,18,2016,15,6,0,1,69,116.73306605625
"119","06/18/2016",6,18,2016,16,6,0,1,69,116.73306605625
"120","06/18/2016",6,18,2016,17,6,0,1,69,116.73306605625
"121","06/18/2016",6,18,2016,18,6,0,1,67,110.208169389001
"122","06/18/2016",6,18,2016,19,6,0,1,65,110.208169389001
"123","06/18/2016",6,18,2016,20,6,0,0,63,110.208169389001
"124","06/18/2016",6,18,2016,21,6,0,0,62,110.208169389001
"125","06/18/2016",6,18,2016,22,6,0,0,61,110.208169389001
"126","06/18/2016",6,18,2016,23,6,0,0,61,110.208169389001
"127","06/19/2016",6,19,2016,0,0,0,0,60,110.208169389001
"128","06/19/2016",6,19,2016,1,0,0,0,60,110.208169389001
"129","06/19/2016",6,19,2016,2,0,0,0,59,110.208169389001
"130","06/19/2016",6,19,2016,3,0,0,0,58,110.208169389001
"131","06/19/2016",6,19,2016,4,0,0,0,57,110.208169389001
"132","06/19/2016",6,19,2016,5,0,0,0,56,110.208169389001
"133","06/19/2016",6,19,2016,6,0,0,0,57,110.208169389001
"134","06/19/2016",6,19,2016,7,0,0,1,60,110.208169389001
"135","06/19/2016",6,19,2016,8,0,0,1,63,110.208169389001
"136","06/19/2016",6,19,2016,9,0,0,1,66,110.208169389001
"137","06/19/2016",6,19,2016,10,0,0,1,68,110.208169389001
"138","06/19/2016",6,19,2016,11,0,0,1,70,244.685870923686
"139","06/19/2016",6,19,2016,12,0,0,1,71,244.685870923686
"140","06/19/2016",6,19,2016,13,0,0,1,70,244.685870923686
"141","06/19/2016",6,19,2016,14,0,0,1,69,244.685870923686
"142","06/19/2016",6,19,2016,15,0,0,1,69,116.73306605625
"143","06/19/2016",6,19,2016,16,0,0,1,68,110.208169389001
"144","06/19/2016",6,19,2016,17,0,0,1,68,110.208169389001
"145","06/19/2016",6,19,2016,18,0,0,1,66,110.208169389001
"146","06/19/2016",6,19,2016,19,0,0,1,65,110.208169389001
"147","06/19/2016",6,19,2016,20,0,0,0,62,110.208169389001
"148","06/19/2016",6,19,2016,21,0,0,0,62,110.208169389001
"149","06/19/2016",6,19,2016,22,0,0,0,62,110.208169389001
"150","06/19/2016",6,19,2016,23,0,0,0,62,110.208169389001
