"Day","Hour","Temperature","KWh_Class"
"12/1/2014",0,51.98,"Optimal"
"12/1/2014",1,51.98,"Optimal"
"12/1/2014",2,51.08,"Optimal"
"12/1/2014",3,51.08,"Optimal"
"12/1/2014",4,51.08,"Optimal"
"12/1/2014",5,51.08,"Optimal"
"12/1/2014",6,50,"Optimal"
"12/1/2014",7,53.06,"Above_Normal"
"12/1/2014",8,55.94,"Above_Normal"
"12/1/2014",9,60.08,"Above_Normal"
"12/1/2014",10,60.08,"Above_Normal"
"12/1/2014",11,62.06,"Above_Normal"
"12/1/2014",12,62.96,"Above_Normal"
"12/1/2014",13,60.98,"Above_Normal"
"12/1/2014",14,57.92,"Above_Normal"
"12/1/2014",15,55.04,"Above_Normal"
"12/1/2014",16,53.06,"Above_Normal"
"12/1/2014",17,51.08,"Above_Normal"
"12/1/2014",18,48.92,"Above_Normal"
"12/1/2014",19,48.02,"Above_Normal"
"12/1/2014",20,46.94,"Optimal"
"12/1/2014",21,42.98,"Optimal"
"12/1/2014",22,41,"Optimal"
"12/1/2014",23,39.02,"Optimal"
"12/2/2014",0,37.94,"Optimal"
"12/2/2014",1,37.04,"Optimal"
"12/2/2014",2,35.96,"Optimal"
"12/2/2014",3,35.06,"Optimal"
"12/2/2014",4,35.06,"Optimal"
"12/2/2014",5,33.98,"Optimal"
"12/2/2014",6,33.98,"Optimal"
"12/2/2014",7,33.08,"Above_Normal"
"12/2/2014",8,33.08,"Above_Normal"
"12/2/2014",9,33.98,"Above_Normal"
"12/2/2014",10,35.06,"Above_Normal"
"12/2/2014",11,37.04,"Above_Normal"
"12/2/2014",12,37.04,"Above_Normal"
"12/2/2014",13,37.04,"Above_Normal"
"12/2/2014",14,37.04,"Above_Normal"
"12/2/2014",15,37.22,"Above_Normal"
"12/2/2014",16,35.96,"Above_Normal"
"12/2/2014",17,35.96,"Above_Normal"
"12/2/2014",18,36.68,"Above_Normal"
"12/2/2014",19,37.04,"Above_Normal"
"12/2/2014",20,37.67,"Optimal"
"12/2/2014",21,39.02,"Optimal"
"12/2/2014",22,39.32,"Optimal"
"12/2/2014",23,41,"Optimal"
"12/3/2014",0,42.89,"Optimal"
"12/3/2014",1,43.82,"Optimal"
"12/3/2014",2,44.96,"Optimal"
"12/3/2014",3,44.78,"Optimal"
"12/3/2014",4,45.14,"Optimal"
"12/3/2014",5,45.23,"Optimal"
"12/3/2014",6,37.58,"Optimal"
"12/3/2014",7,37.22,"Above_Normal"
"12/3/2014",8,37.94,"Above_Normal"
