"Account","Date","KWh","month","day","year","hour","DayofWeek","WeekDay","Peakhour","Temperature","KWh_Class"
999999999,"1/1/2014",78.405,1,1,2014,0,3,1,1,23,"Optimal"
999999999,"1/1/2014",76.425,1,1,2014,1,3,1,1,21.9,"Optimal"
999999999,"1/1/2014",78.015,1,1,2014,2,3,1,1,21.9,"Optimal"
999999999,"1/1/2014",78.12,1,1,2014,3,3,1,1,21.9,"Optimal"
999999999,"1/1/2014",77.535,1,1,2014,4,3,1,1,21,"Optimal"
999999999,"1/1/2014",104.099999,1,1,2014,5,3,1,1,21,"Optimal"
999999999,"1/1/2014",158.264998,1,1,2014,6,3,1,0,21,"Above_Normal"
999999999,"1/1/2014",249.164995,1,1,2014,7,3,1,0,19.9,"Above_Normal"
999999999,"1/1/2014",240.524994,1,1,2014,8,3,1,0,23,"Above_Normal"
999999999,"1/1/2014",224.069994,1,1,2014,9,3,1,0,24.1,"Above_Normal"
999999999,"1/1/2014",223.394993,1,1,2014,10,3,1,0,26.1,"Above_Normal"
999999999,"1/1/2014",215.039996,1,1,2014,11,3,1,0,26.1,"Above_Normal"
999999999,"1/1/2014",210.675,1,1,2014,12,3,1,0,27,"Above_Normal"
999999999,"1/1/2014",196.049998,1,1,2014,13,3,1,0,28,"Above_Normal"
999999999,"1/1/2014",196.559993,1,1,2014,14,3,1,0,27,"Above_Normal"
999999999,"1/1/2014",151.829996,1,1,2014,15,3,1,0,27,"Above_Normal"
999999999,"1/1/2014",103.739998,1,1,2014,16,3,1,0,26.1,"Optimal"
999999999,"1/1/2014",99.584999,1,1,2014,17,3,1,0,25,"Optimal"
999999999,"1/1/2014",97.589998,1,1,2014,18,3,1,0,24.1,"Optimal"
999999999,"1/1/2014",91.47,1,1,2014,19,3,1,1,24.1,"Optimal"
999999999,"1/1/2014",93.6,1,1,2014,20,3,1,1,23,"Optimal"
999999999,"1/1/2014",79.35,1,1,2014,21,3,1,1,21.9,"Optimal"
999999999,"1/1/2014",76.44,1,1,2014,22,3,1,1,23,"Optimal"
999999999,"1/1/2014",78.975,1,1,2014,23,3,1,1,23,"Optimal"
999999999,"1/2/2014",78.66,1,2,2014,0,4,1,1,21,"Optimal"
999999999,"1/2/2014",77.385,1,2,2014,1,4,1,1,20.1666666666667,"Optimal"
999999999,"1/2/2014",79.485,1,2,2014,2,4,1,1,19.2,"Optimal"
999999999,"1/2/2014",83.685,1,2,2014,3,4,1,1,19.2,"Optimal"
999999999,"1/2/2014",162.194999,1,2,2014,4,4,1,1,19.2,"Above_Normal"
999999999,"1/2/2014",170.474997,1,2,2014,5,4,1,1,19.2666666666667,"Above_Normal"
999999999,"1/2/2014",205.874997,1,2,2014,6,4,1,0,19.2666666666667,"Above_Normal"
999999999,"1/2/2014",264.044997,1,2,2014,7,4,1,0,19.2,"Above_Normal"
999999999,"1/2/2014",263.534995,1,2,2014,8,4,1,0,19.5666666666667,"Above_Normal"
999999999,"1/2/2014",269.009995,1,2,2014,9,4,1,0,24.1,"Above_Normal"
999999999,"1/2/2014",80.82,1,2,2014,10,4,1,0,25.8,"Optimal"
999999999,"1/2/2014",33.45,1,2,2014,11,4,1,0,24.5666666666667,"Optimal"
999999999,"1/2/2014",24.825,1,2,2014,12,4,1,0,24.1,"Optimal"
999999999,"1/2/2014",28.995,1,2,2014,13,4,1,0,25.8333333333333,"Optimal"
999999999,"1/2/2014",20.775,1,2,2014,14,4,1,0,19.9,"Optimal"
999999999,"1/2/2014",6,1,2,2014,15,4,1,0,13.95,"Optimal"
999999999,"1/2/2014",91.3240950745957,1,2,2014,16,4,1,0,12.1333333333333,"Optimal"
999999999,"1/2/2014",91.1477535226091,1,2,2014,17,4,1,0,10.3,"Optimal"
999999999,"1/2/2014",90.9714119706225,1,2,2014,18,4,1,0,8.1,"Optimal"
999999999,"1/2/2014",90.795070418636,1,2,2014,19,4,1,1,6.1,"Optimal"
999999999,"1/2/2014",90.6187288666494,1,2,2014,20,4,1,1,6.45,"Optimal"
999999999,"1/2/2014",90.4423873146628,1,2,2014,21,4,1,1,4.45,"Optimal"
999999999,"1/2/2014",90.2660457626762,1,2,2014,22,4,1,1,3.1,"Optimal"
999999999,"1/2/2014",90.0897042106897,1,2,2014,23,4,1,1,2.76666666666667,"Optimal"
999999999,"1/3/2014",94.5155337733727,1,3,2014,0,5,1,1,1.56666666666667,"Optimal"
